first_name,last_name,email,role,birthday,gender
Emma,Carter,jaredhagemann.test+ecarter18@gmail.com,player,2018-01-16,female
Olivia,Morgan,jaredhagemann.test+omorgan18@gmail.com,player,2018-03-08,female
Ava,Collins,jaredhagemann.test+acollins18@gmail.com,player,2018-04-24,female
Sophia,Rivera,jaredhagemann.test+srivera18@gmail.com,player,2018-06-11,female
Mia,Watson,jaredhagemann.test+mwatson18@gmail.com,player,2018-07-29,female
Isabella,Gray,jaredhagemann.test+igray18@gmail.com,player,2018-09-05,female
Charlotte,Bailey,jaredhagemann.test+cbailey18@gmail.com,player,2018-10-19,female
Amelia,Price,jaredhagemann.test+aprice18@gmail.com,player,2018-11-02,female
Harper,Reyes,jaredhagemann.test+hreyes18@gmail.com,player,2018-12-14,female
Evelyn,Ward,jaredhagemann.test+eward18@gmail.com,player,2018-05-31,female
Pep,Guardiola,jaredhagemann.test+pep@gmail.com,coach,1979-01-18,male
