first_name,last_name,email,role,birthday,gender
James,Jones,jaredhagemann.test+jjones@gmail.com,player,2017-02-14,male
Mason,Reed,jaredhagemann.test+mreed@gmail.com,player,2017-05-03,male
Ethan,Brooks,jaredhagemann.test+ebrooks@gmail.com,player,2017-08-21,male
Noah,Turner,jaredhagemann.test+nturner@gmail.com,player,2017-11-09,male
Lucas,Bennett,jaredhagemann.test+lbennett@gmail.com,player,2017-01-27,male
Owen,Mitchell,jaredhagemann.test+omitchell@gmail.com,player,2017-04-18,male
Caleb,Parker,jaredhagemann.test+cparker@gmail.com,player,2017-07-06,male
Logan,Foster,jaredhagemann.test+lfoster@gmail.com,player,2017-10-12,male
Henry,Cooper,jaredhagemann.test+hcooper@gmail.com,player,2017-03-30,male
Wyatt,Hayes,jaredhagemann.test+whayes@gmail.com,player,2017-09-15,male
Mauricio,Pochettino,jaredhagemann.test+mpochettino-boys2017@gmail.com,coach,1972-03-02,male
