first_name,last_name,email,role,birthday,gender
Madison,Flores,jaredhagemann.test+mflores16@gmail.com,player,2016-01-09,female
Layla,Coleman,jaredhagemann.test+lcoleman16@gmail.com,player,2016-02-25,female
Penelope,Jenkins,jaredhagemann.test+pjenkins16@gmail.com,player,2016-04-12,female
Aria,Perry,jaredhagemann.test+aperry16@gmail.com,player,2016-05-20,female
Ellie,Russell,jaredhagemann.test+erussell16@gmail.com,player,2016-06-30,female
Stella,Griffin,jaredhagemann.test+sgriffin16@gmail.com,player,2016-08-04,female
Violet,Diaz,jaredhagemann.test+vdiaz16@gmail.com,player,2016-09-13,female
Aurora,Hayes,jaredhagemann.test+ahayes16@gmail.com,player,2016-10-21,female
Savannah,Myers,jaredhagemann.test+smyers16@gmail.com,player,2016-11-06,female
Hazel,Fisher,jaredhagemann.test+hfisher16@gmail.com,player,2016-12-17,female
Emma,Hayes,jaredhagemann.test+ehayes-girls2016@gmail.com,coach,1976-10-18,female
